listener_id,hours_per_week,num_genres_followed,num_episodes_completed,skip_rate_percent,days_since_signup,is_premium
L0075,3.9,2,4.0,87.5,259,0
L0076,3.2,3,3.0,100.0,453,0
L0077,0.2,7,0.0,85.8,284,1
L0078,1.7,4,2.0,94.9,764,1
L0079,1.3,7,3.0,100.0,62,0
L0080,5.0,5,8.0,65.1,877,1
L0081,1.2,1,3.0,100.0,877,0
L0082,1.8,3,1.0,73.7,457,0
L0083,4.4,4,8.0,67.1,637,0
L0084,5.5,7,9.0,72.9,242,1
L0085,1.3,4,0.0,100.0,316,0
L0086,2.8,5,3.0,78.0,705,0
L0087,6.3,4,7.0,47.3,389,1
L0088,0.8,5,0.0,100.0,748,0
L0089,3.4,3,9.0,96.6,412,1
L0090,2.0,2,4.0,93.4,311,0
L0091,0.7,1,1.0,88.1,494,0
L0092,4.1,3,8.0,60.8,375,0
L0093,3.6,5,5.0,100.0,613,1
L0094,2.2,5,3.0,89.1,778,1
L0095,4.2,1,8.0,57.4,403,0
L0096,2.0,3,1.0,69.3,221,0
L0097,2.6,6,2.0,97.5,321,1
L0098,6.7,2,6.0,73.5,557,1
L0099,1.5,5,1.0,90.1,615,1
L0100,1.8,5,5.0,84.4,705,0
L0101,1.7,3,1.0,97.8,334,0
L0102,2.6,2,7.0,93.3,574,0
L0103,1.4,5,1.0,94.2,466,0
L0104,3.1,3,5.0,68.2,597,0
L0105,3.6,4,3.0,81.7,447,0
L0106,3.6,5,6.0,100.0,842,1
L0107,2.7,7,8.0,72.7,820,1
L0108,3.8,1,5.0,69.3,86,0
L0109,0.3,1,0.0,89.9,287,0
L0110,2.9,4,4.0,74.1,659,1
L0111,4.0,1,7.0,92.2,286,0
L0112,6.0,7,6.0,71.7,870,1
L0113,2.3,4,7.0,75.4,638,1
L0114,0.3,6,0.0,86.0,559,0
L0115,0.7,6,2.0,94.9,884,1
L0116,2.6,6,7.0,76.8,301,1
L0117,1.5,3,3.0,94.6,388,0
L0118,0.3,2,3.0,100.0,27,0
L0119,1.4,7,3.0,75.3,780,1
L0120,7.2,3,9.0,76.7,337,0
L0121,12.0,1,15.0,19.5,227,1
L0122,4.1,4,9.0,90.5,58,0
L0123,0.9,3,0.0,96.3,645,0
L0124,7.2,5,10.0,53.6,372,1
L0125,1.6,6,1.0,67.9,775,1
L0126,3.3,1,4.0,73.2,404,0
L0127,3.8,6,7.0,88.8,191,1
L0128,5.1,5,5.0,78.2,115,1
L0129,4.4,1,3.0,64.2,286,0
L0130,0.2,3,3.0,71.1,230,0
L0131,1.4,5,5.0,94.1,792,0
L0132,4.6,7,6.0,58.7,174,1
L0133,1.1,1,0.0,90.9,170,0
L0134,3.5,3,3.0,67.4,693,1
L0135,3.8,1,6.0,90.4,611,0
L0136,3.6,4,6.0,72.1,74,1
L0137,1.6,2,3.0,91.5,582,0
L0138,1.1,5,3.0,91.3,312,0
L0139,2.8,7,4.0,76.1,320,1
L0140,8.3,6,12.0,57.9,807,1
L0141,4.1,2,5.0,79.1,614,1
L0142,0.9,2,2.0,97.9,229,0
L0143,6.5,2,8.0,56.8,415,0
L0144,2.0,4,3.0,93.1,732,1
L0145,5.0,4,5.0,58.3,79,1
L0146,4.0,4,5.0,78.8,445,1
L0147,4.1,3,3.0,72.7,860,0
L0148,4.2,5,7.0,42.9,315,0
L0149,6.4,3,7.0,46.9,692,1
L0150,2.2,3,2.0,82.2,73,0
L0151,1.5,2,1.0,100.0,845,1
L0152,3.6,6,3.0,91.7,758,1
L0153,4.8,5,4.0,64.7,750,0
L0154,1.9,1,4.0,100.0,9,0
L0155,2.6,5,4.0,74.1,483,0
L0156,4.4,5,8.0,85.7,141,0
L0157,4.4,6,5.0,69.6,439,1
L0158,1.5,3,3.0,81.5,303,0
L0159,1.5,6,0.0,74.0,738,0
L0160,4.7,3,8.0,69.8,829,1
L0161,2.6,7,1.0,94.4,76,0
L0162,2.7,1,6.0,83.0,121,0
L0163,3.6,1,6.0,100.0,582,1
L0164,0.7,1,5.0,88.9,63,0
L0165,2.7,4,5.0,96.2,219,0
L0166,1.3,5,0.0,100.0,25,0
L0167,6.8,3,13.0,60.4,855,1
L0168,0.9,1,4.0,92.2,16,0
L0169,2.2,2,5.0,79.5,29,0
L0170,4.3,7,9.0,81.7,405,1
L0171,3.0,3,4.0,90.3,895,0
L0172,1.9,1,0.0,86.2,526,1
L0173,2.0,5,2.0,80.2,757,1
L0174,7.3,3,8.0,42.4,125,1
L0175,1.6,4,4.0,89.1,90,0
L0176,1.6,6,1.0,72.0,13,0
L0177,3.2,1,5.0,72.5,858,1
L0178,1.8,7,1.0,100.0,164,0
L0179,5.0,4,9.0,59.9,512,1
L0180,2.7,6,5.0,78.4,565,1
L0181,2.2,7,2.0,95.6,615,0
L0182,1.2,3,5.0,97.2,800,0
L0183,1.7,7,6.0,86.5,415,0
L0184,1.5,3,3.0,95.2,885,0
L0185,9.0,6,11.0,44.2,614,1
L0186,0.6,2,2.0,96.4,415,0
L0187,4.1,6,6.0,66.0,111,1
L0188,4.8,7,6.0,76.3,760,1
L0189,1.3,2,2.0,93.9,188,0
L0190,0.6,7,1.0,96.8,265,0
L0191,6.3,7,6.0,65.7,61,0
L0192,3.8,5,5.0,77.8,865,1
L0193,2.9,2,2.0,78.1,877,0
L0194,6.9,3,9.0,58.9,494,1
L0195,8.3,2,11.0,43.8,310,1
L0196,3.1,1,6.0,56.4,630,0
L0197,6.0,7,7.0,54.8,621,1
L0198,5.7,2,8.0,61.2,392,1
L0199,4.3,5,3.0,73.9,223,1
L0200,2.3,7,5.0,89.1,473,0
L0201,2.9,7,8.0,95.6,610,1
L0202,4.2,5,5.0,89.5,725,0
L0203,1.8,2,4.0,100.0,652,0
L0204,2.1,5,4.0,84.3,195,0
L0205,2.6,5,3.0,94.6,67,0
L0206,2.3,2,5.0,62.9,357,1
L0207,3.5,5,4.0,66.4,898,1
L0208,4.7,3,6.0,88.1,123,0
L0209,0.5,5,1.0,94.7,151,0
L0210,6.2,6,7.0,60.8,670,1
L0211,1.5,6,0.0,94.5,61,0
L0212,0.2,6,2.0,100.0,621,0
L0213,2.0,7,3.0,84.5,156,0
L0214,6.6,4,7.0,59.5,777,1
L0215,1.2,1,0.0,77.6,590,0
L0216,1.3,3,2.0,95.2,330,0
L0217,3.7,7,3.0,86.4,255,1
L0218,2.8,5,5.0,92.0,254,0
L0219,3.5,2,5.0,80.4,797,0
L0220,6.4,5,9.0,55.4,645,1
L0221,2.4,1,5.0,81.5,467,0
L0222,2.7,2,4.0,75.1,38,1
L0223,2.6,6,5.0,69.3,101,0
L0224,4.9,6,9.0,74.8,509,1
L0225,8.4,2,12.0,42.2,350,1
L0226,4.8,2,2.0,93.2,862,1
L0227,5.1,6,9.0,71.8,202,0
L0228,1.4,2,2.0,100.0,727,0
L0229,1.3,1,3.0,76.1,793,0
L0230,4.1,4,9.0,73.4,627,1
L0231,1.7,7,2.0,98.3,665,1
L0232,6.4,4,9.0,69.5,141,1
L0233,3.8,4,1.0,80.8,544,1
L0234,7.9,1,13.0,57.8,522,1
L0235,4.2,7,5.0,66.5,632,1
L0236,8.7,6,11.0,38.6,565,1
L0237,3.9,5,5.0,71.3,699,1
L0238,4.4,6,7.0,58.6,408,0
L0239,6.3,7,5.0,72.0,362,0
L0240,8.8,4,15.0,35.6,127,1
L0241,5.1,6,7.0,58.6,29,1
L0242,2.3,5,3.0,83.7,459,0
L0243,2.6,7,6.0,100.0,839,1
L0244,2.0,3,5.0,90.3,482,0
L0245,0.5,1,2.0,100.0,38,0
L0246,5.4,5,5.0,68.4,144,0
L0247,5.9,1,10.0,80.4,331,1
L0248,5.1,6,7.0,75.3,100,0
L0249,11.5,1,13.0,16.0,541,1
L0250,3.1,3,4.0,68.8,91,1
L0251,2.4,7,4.0,87.1,272,1
L0252,4.9,5,5.0,73.1,307,0
L0253,3.8,7,7.0,71.5,84,1
L0254,1.8,2,1.0,92.3,526,0
L0255,2.5,2,5.0,98.0,818,1
L0256,1.4,4,3.0,86.3,21,1
L0257,2.8,1,5.0,97.1,20,0
L0258,2.6,3,1.0,98.4,12,0
L0259,4.4,3,6.0,43.0,193,0
L0260,10.1,4,14.0,32.7,533,1
L0261,3.5,3,5.0,86.5,208,1
L0262,3.2,4,4.0,79.5,236,1
L0263,2.6,7,4.0,84.5,9,0
L0264,2.8,6,3.0,92.2,897,1
L0265,5.5,4,7.0,74.9,610,1
L0266,1.0,7,4.0,86.5,504,1
L0267,4.2,2,9.0,48.6,19,0
L0268,3.5,4,8.0,84.3,462,1
L0269,5.7,6,9.0,75.9,32,1
L0270,3.8,4,4.0,81.8,445,1
L0271,1.3,7,1.0,95.7,401,1
L0272,1.7,1,5.0,97.0,640,0
L0273,1.1,3,2.0,98.1,648,0
L0274,2.6,1,7.0,77.3,228,0
L0275,5.1,6,6.0,71.6,621,1
L0276,4.8,1,8.0,76.9,170,0
L0277,1.5,6,0.0,84.4,30,0
L0278,4.1,4,5.0,76.1,472,0
L0279,7.6,2,11.0,65.4,308,1
L0280,3.4,2,5.0,99.4,122,1
L0281,7.8,5,11.0,60.3,565,1
L0282,0.8,1,0.0,100.0,739,0
L0283,10.7,3,14.0,35.0,775,1
L0284,4.2,2,5.0,72.9,247,0
L0285,4.9,6,5.0,84.0,697,1
L0286,1.0,1,2.0,92.0,186,0
L0287,1.6,6,1.0,86.1,361,0
L0288,1.9,2,1.0,76.9,804,0
L0289,6.4,1,13.0,61.1,836,1
L0290,0.4,6,1.0,94.4,714,0
L0291,1.5,1,5.0,77.5,763,0
L0292,8.3,1,10.0,36.6,771,1
L0293,5.8,1,7.0,68.6,254,1
L0294,4.7,5,4.0,79.7,85,0
L0295,1.0,2,0.0,88.7,393,0
L0296,3.8,6,2.0,69.6,39,1
L0297,3.3,6,5.0,77.5,197,0
L0298,6.7,2,7.0,17.0,344,1
L0299,4.4,1,4.0,67.3,68,1
L0300,4.1,3,4.0,86.7,594,1
L0301,2.8,1,5.0,92.8,191,0
L0302,0.5,7,0.0,91.0,240,0
L0303,2.6,6,5.0,82.1,524,1
L0304,11.0,3,12.0,16.5,477,1
L0305,1.2,3,3.0,80.1,226,0
L0306,0.9,7,1.0,94.8,383,1
L0307,1.5,7,3.0,79.7,897,1
L0308,13.2,6,15.0,37.0,532,1
L0309,4.5,6,6.0,83.5,531,1
L0310,2.2,4,3.0,91.4,56,0
L0311,7.1,5,8.0,60.2,626,1
L0312,8.0,7,12.0,45.7,567,1
L0313,4.5,2,6.0,73.4,121,1
L0314,0.8,5,2.0,75.8,677,1
L0315,2.5,4,2.0,91.6,484,0
L0316,5.1,2,7.0,76.4,316,0
L0317,3.1,6,1.0,89.5,726,1
L0318,1.1,5,3.0,91.7,194,1
L0319,5.3,1,4.0,84.2,426,0
L0320,4.9,6,5.0,71.4,639,1
L0321,3.3,6,4.0,82.1,230,1
L0322,2.4,2,4.0,80.3,668,0
L0323,3.4,5,5.0,74.9,594,1
L0324,4.1,4,1.0,59.5,411,0
L0325,4.2,5,3.0,69.4,162,1
L0326,2.3,7,1.0,82.8,602,1
L0327,1.8,6,2.0,87.1,386,0
L0328,5.5,6,4.0,56.1,388,1
L0329,2.9,5,2.0,68.2,892,1
L0330,6.8,5,10.0,50.2,809,1
L0331,4.8,4,6.0,67.4,126,1
L0332,2.3,4,4.0,96.2,464,1
L0333,2.6,2,4.0,74.4,620,0
L0334,1.2,2,0.0,96.1,66,0
L0335,1.5,5,0.0,87.4,222,0
L0336,2.6,7,3.0,80.7,563,1
L0337,1.7,7,3.0,79.9,469,1
L0338,1.8,4,1.0,100.0,761,1
L0339,2.6,5,5.0,86.1,256,0
L0340,3.4,2,3.0,78.4,494,1
L0341,2.7,2,2.0,90.6,167,0
L0342,2.8,4,3.0,72.6,279,0
L0343,9.9,4,13.0,31.4,60,1
L0344,2.4,5,2.0,87.6,810,0
L0345,0.6,7,0.0,84.4,488,1
L0346,4.9,5,4.0,69.7,850,0
L0347,4.7,2,4.0,85.9,120,1
L0348,5.8,7,10.0,53.2,291,1
L0349,3.6,7,2.0,78.3,589,1
L0350,9.2,1,15.0,52.3,313,0
