episode_id,episode_length_min,genre,num_ads,guest_rating,host_experience_years,avg_listen_minutes
EP084,49.1,Comedy,3,3.9,3,41.9
EP085,46.3,True Crime,1,5.0,3,41.3
EP086,36.6,Comedy,1,3.9,10,33.0
EP087,46.9,Tech,2,3.0,1,28.2
EP088,50.6,Comedy,3,5.0,6,40.9
EP089,44.0,Business,3,2.5,4,28.3
EP090,34.6,Comedy,4,5.0,11,35.2
EP091,17.8,Business,3,3.3,8,16.7
EP092,49.4,Comedy,3,4.9,9,43.9
EP093,33.8,Fiction,3,3.8,7,27.6
EP094,27.9,True Crime,4,4.3,11,35.2
EP095,48.7,True Crime,4,3.9,7,37.7
EP096,42.1,True Crime,2,3.8,0,36.7
EP097,21.0,Health,5,4.3,7,20.6
EP098,36.8,Business,5,3.5,5,19.0
EP099,34.8,Health,3,4.2,10,34.6
EP100,49.9,Comedy,5,3.2,9,33.2
EP101,15.3,True Crime,3,3.4,7,23.4
EP102,33.4,Tech,3,3.6,5,18.0
EP103,36.3,True Crime,3,3.8,7,24.9
EP104,55.0,Fiction,1,4.8,11,39.0
EP105,25.0,Health,0,3.3,2,17.0
EP106,8.0,Health,5,3.3,5,7.4
EP107,21.4,True Crime,5,3.1,11,21.1
EP108,41.2,Tech,3,3.6,9,27.8
EP109,47.7,True Crime,4,4.3,6,36.4
EP110,58.8,True Crime,0,3.4,0,42.3
EP111,42.8,Business,3,3.7,7,34.4
EP112,28.4,True Crime,2,3.5,8,31.8
EP113,48.6,Health,5,4.0,2,32.7
EP114,37.9,True Crime,0,2.5,5,36.1
EP115,35.6,Business,1,4.3,11,40.0
EP116,38.2,Comedy,2,4.6,11,39.0
EP117,53.3,Fiction,2,3.3,3,32.0
EP118,27.2,Comedy,1,3.9,8,28.2
EP119,25.7,True Crime,4,3.3,7,22.6
EP120,37.2,Health,0,4.6,9,39.6
EP121,37.2,True Crime,2,4.3,4,35.8
EP122,28.2,Comedy,4,5.0,8,31.2
EP123,27.4,Comedy,0,3.8,4,22.6
EP124,42.5,Tech,1,3.3,11,40.9
EP125,54.1,True Crime,0,3.6,8,45.5
EP126,46.6,Fiction,5,3.0,0,32.0
EP127,46.2,Business,1,4.1,4,37.7
EP128,52.9,Tech,4,4.1,8,33.9
EP129,14.1,Health,4,4.6,7,14.0
EP130,19.9,True Crime,2,4.2,10,28.9
EP131,29.5,Tech,5,3.6,2,24.1
EP132,23.7,Business,1,4.8,1,20.1
EP133,26.1,Fiction,0,4.3,10,26.2
EP134,38.8,Comedy,0,4.5,6,29.1
EP135,22.6,True Crime,5,3.1,1,14.1
EP136,32.7,Business,2,3.3,3,21.8
EP137,13.5,True Crime,2,3.5,4,17.8
EP138,26.3,True Crime,3,3.6,7,28.5
EP139,54.1,Comedy,5,2.4,10,33.7
EP140,31.5,Business,0,4.8,2,25.3
EP141,41.9,Comedy,3,3.8,6,31.6
EP142,46.5,Health,3,4.5,4,34.6
EP143,32.1,Comedy,3,4.5,8,30.7
EP144,44.9,True Crime,1,5.0,7,42.6
EP145,40.6,Fiction,2,4.3,3,32.3
EP146,46.4,Comedy,0,4.2,1,40.8
EP147,30.4,Business,1,3.4,6,25.0
EP148,20.7,True Crime,0,4.0,8,24.3
EP149,25.7,Business,0,5.0,0,25.4
EP150,31.3,True Crime,1,2.7,1,34.5
EP151,44.4,Tech,0,3.4,7,33.0
EP152,35.5,Business,3,4.1,0,35.0
EP153,33.2,Comedy,1,5.0,9,33.0
EP154,35.8,True Crime,1,3.2,6,35.5
EP155,51.2,Fiction,2,3.6,4,31.3
EP156,31.1,True Crime,4,4.0,6,27.3
EP157,56.1,Tech,3,5.0,5,84.24
EP158,23.3,Fiction,2,3.3,6,17.8
EP159,30.9,Health,0,3.8,10,28.5
EP160,48.3,Fiction,2,4.5,3,38.9
EP161,44.2,Tech,2,3.5,0,32.1
EP162,27.7,Health,5,4.2,8,16.8
EP163,36.7,Comedy,5,4.2,10,25.0
EP164,29.5,Fiction,5,3.7,10,25.3
EP165,48.2,Tech,1,4.2,9,40.6
EP166,44.5,Tech,1,5.0,9,42.1
EP167,29.4,Tech,1,4.0,0,24.4
EP168,42.8,True Crime,2,3.7,8,39.6
EP169,33.6,Fiction,1,3.4,3,33.3
EP170,37.1,Health,3,4.1,0,22.4
EP171,38.8,Tech,5,4.7,6,32.6
EP172,31.2,Comedy,2,4.1,10,33.9
EP173,43.1,Business,1,4.2,10,41.6
EP174,43.5,Health,2,5.0,1,33.0
EP175,43.1,Fiction,0,3.4,6,36.3
EP176,51.3,Tech,5,3.2,10,34.1
EP177,34.7,True Crime,0,4.2,7,34.3
EP178,20.2,Health,3,3.8,4,22.9
EP179,32.1,Comedy,4,4.4,11,30.5
EP180,40.4,True Crime,5,4.8,7,29.7
EP181,38.3,Tech,4,4.2,10,31.2
EP182,44.9,Health,2,3.8,1,28.5
EP183,47.7,Fiction,5,4.3,2,26.2
EP184,36.6,Comedy,3,4.3,0,24.8
EP185,36.7,Business,3,3.9,8,28.9
EP186,26.2,Tech,3,3.6,6,40.5
EP187,50.4,Comedy,0,4.4,8,43.7
EP188,34.8,True Crime,4,3.8,5,31.0
EP189,25.0,Health,1,3.2,10,32.9
EP190,24.6,True Crime,1,4.4,3,23.6
EP191,33.0,True Crime,3,3.6,7,31.4
EP192,56.7,Business,0,3.6,7,44.0
EP193,47.3,Tech,4,4.4,6,29.3
EP194,17.7,Fiction,4,3.4,8,15.7
EP195,36.5,True Crime,1,3.8,7,35.6
EP196,41.2,Comedy,5,3.3,3,27.8
EP197,45.5,Tech,3,2.9,3,26.7
EP198,42.1,Health,0,4.2,9,41.0
EP199,30.3,True Crime,3,5.0,2,54.36
EP200,42.9,True Crime,5,3.3,5,33.4
EP201,31.4,Tech,2,4.8,3,34.0
EP202,11.1,Business,2,4.7,11,14.1
EP203,29.5,Tech,1,5.0,0,31.2
EP204,29.8,Health,0,3.2,7,30.1
EP205,49.4,True Crime,0,3.5,2,37.3
EP206,50.7,Health,1,5.0,10,43.3
EP207,25.5,Business,4,3.9,0,16.4
EP208,40.1,Comedy,1,4.0,2,29.2
EP209,39.1,Fiction,0,4.5,0,37.4
EP210,20.8,Tech,3,4.4,5,17.4
EP211,13.4,Tech,4,3.6,9,6.9
EP212,36.9,Tech,5,3.8,0,26.4
EP213,39.6,Business,4,4.4,5,27.0
EP214,30.9,Tech,2,4.2,6,28.8
EP215,8.0,Health,3,3.5,6,13.1
EP216,37.6,True Crime,4,4.9,9,33.3
EP217,31.1,True Crime,2,4.6,6,30.3
EP218,27.3,Tech,1,3.7,10,17.4
EP219,34.1,Comedy,5,3.6,8,24.8
EP220,24.5,Comedy,0,4.6,9,26.3
